Wavelength,Wx(D65-10),Wy(D65-10),Wz(D65-10),Wx(F02),Wy(F02),Wz(F02),Wx(A-10),Wy(A-10),Wz(A-10)
400,0.097,0.01,0.436,0.13,0.014,0.588,0.018,0.002,0.078
410,0.616,0.064,2.808,0.326,0.034,1.494,0.118,0.012,0.54
420,1.66,0.171,7.868,0.088,-0.005,0.303,0.372,0.038,1.76
430,2.377,0.283,11.703,3.107,0.407,15.491,0.686,0.082,3.374
440,3.512,0.549,17.958,4.387,0.658,22.288,0.982,0.154,5.024
450,3.789,0.888,20.358,1.169,0.312,6.415,1.094,0.255,5.876
460,3.103,1.277,17.861,1.441,0.587,8.294,1.024,0.414,5.882
470,1.937,1.817,13.085,0.954,0.895,6.428,0.747,0.688,5.023
480,0.747,2.545,7.51,0.383,1.257,3.794,0.326,1.073,3.236
490,0.11,3.164,3.743,0.06,1.664,1.973,0.061,1.589,1.926
500,0.007,4.309,2.003,0.002,2.156,0.989,0.003,2.397,1.129
510,0.314,5.631,1.004,0.151,2.752,0.492,0.189,3.503,0.638
520,1.027,6.896,0.529,0.528,3.519,0.267,0.717,4.857,0.377
530,2.174,8.136,0.271,0.934,3.956,0.148,1.617,6.096,0.205
540,3.38,8.684,0.116,3.551,8.791,0.108,2.823,7.29,0.1
550,4.735,8.903,0.03,6.295,12.243,0.056,4.296,8.116,0.028
560,6.081,8.614,-0.003,6.984,9.828,-0.004,6.177,8.799,-0.003
570,7.31,7.95,0.001,11.012,11.985,0,8.285,9.039,0.001
580,8.393,7.164,0,14.508,12.451,0,10.218,8.758,0
590,8.603,5.945,0,13.512,9.315,0,12.041,8.35,0
600,8.771,5.11,0,12.111,7.032,0,12.85,7.492,0
610,7.996,4.067,0,9.208,4.671,0,12.441,6.337,0
620,6.476,2.99,0,6.03,2.776,0,10.872,5.025,0
630,4.635,2.02,0,3.45,1.496,0,8.604,3.753,0
640,3.074,1.275,0,1.702,0.704,0,5.951,2.469,0
650,1.814,0.724,0,0.767,0.305,0,3.846,1.537,0
660,1.031,0.407,0,0.317,0.125,0,2.259,0.891,0
670,0.557,0.218,0,0.122,0.048,0,1.242,0.485,0
680,0.261,0.102,0,0.045,0.017,0,0.643,0.25,0
690,0.114,0.044,0,0.017,0.007,0,0.324,0.126,0
700,0.057,0.022,0,0.006,0.002,0,0.16,0.062,0
